Network,ASN,Enabled by Default,V4 Min Length,V4 Max Length,V6 Min Length,V6 Max Length,IRR Validated,ROA Validated,ROA Invalid Accepted,ROA Covering Origin Validated,ASPA Validated,RTBH Community,Forwards RTBH Routes,Supports Selective RTBH
Shasta COE,23483,No,32,32,64,64,Yes,Yes,Yes,Yes,No,65535:666,No,No
Equinix IXP,24115,?,32,32,128,128,?,?,?,?,?,65535:666,?,?
NL-ix,24785,Yes,8,32,16,128,Yes,Yes,Yes,No,No,65535:666,?,?
CMC Networks,25818,-,-,-,-,-,-,-,-,-,-,-,-,-
KING-EDV,31451,Yes,32,32,128,128,?,No,Yes,No,No,5535:666,Yes,Yes
Wikstrom Telephone Company,33362,Yes,1,32,1,128,No,No,Yes,No,No,65535:666,Yes,No
STHIX (Stockholm IX),33886,-,-,-,-,-,-,-,-,-,-,-,-,-
smartTERRA,35548,Yes,32,32,?,128,Yes,Yes,No,No,No,35548:666,Yes,No
Frank Habicht,37084,No,1,32,1,128,Yes,No,Yes,No,No,37084:666,Yes,No
MDNET,40138,Yes,24,32,48,128,Yes,Yes,Yes,Yes,No,40138:666,Yes,No
Alwyzon,40994,Yes,32,32,64,128,Yes,No,Yes,No,No,65535:666,Yes,No
Stuttgart-IX,41139,-,-,-,-,-,-,-,-,-,-,-,-,-
Speed-IX,41441,-,-,-,-,-,-,-,-,-,-,-,-,-
FAELIX,41495,Yes,24,32,48,128,Yes,No,Yes,No,No,41495:666,Yes,Yes
NorthC,42346,Yes,32,32,128,128,Yes,No,Yes,Yes,No,42346:666,Yes,No
SwissIX,42476,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
DE-CIX Hamburg,43252,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
nLighten,45014,Yes,32,32,128,128,Yes,No,No,No,No,45014:666,Yes,No
NIX.CZ,47200,Yes,1,32,1,128,Yes,No,Yes,No,Yes,65535:666,Yes,Yes
DE-CIX Munich,47228,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
DE-CIX Madrid,48793,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
MAINPORT Peer-Exchange,50566,Yes,32,32,128,128,Yes,No,Yes,No,No,65535:666,Yes,No
NetNod,52005,Yes,8,32,16,128,Yes,Yes,?,No,No,65535:666,Yes,?
level66.network,56381,Yes,32,32,128,128,Yes,No,?,No,No,65535:666,Yes,No
Frys-IX,56393,-,-,-,-,-,-,-,-,-,-,-,-,-
DE-CIX Dusseldorf,56890,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
Peering.cz,61195,-,-,-,-,-,-,-,-,-,-,-,-,-
IP-IT-AS,61438,Yes,22,32,29,128,No,No,Yes,No,No,65535:666,No,?
Viva Tecnologia Telecomunica??es,61618,-,-,-,-,-,-,-,-,-,-,-,-,-
MIX (Milan Internet eXchange),61968,-,-,-,-,-,-,-,-,-,-,-,-,-
DE-CIX Copenhagen,201561,Yes,8,32,16,128,Yes,Yes,Yes,Yes,No,65535:666,Yes,?
PacketHarbor,202142,Yes,16,32,48,128,Yes,Yes,Yes,Yes,No,65535:666,No,No
Karsolink,204471,No,24,32,48,128,No,No,Yes,No,No,?,No,No
Medialine EuroTrade AG,205614,Yes,32,32,128,128,Yes,No,No,No,No,65535:666,Yes,No
Devantis,206201,Yes,24,32,48,128,No,No,Yes,No,No,65535:666,No,No
RoyaleHosting B.V.,212477,No,?,?,?,?,?,?,?,?,?,65535:666,?,?
FrankonIX,214591,-,-,-,-,-,-,-,-,-,-,-,-,-
MBIX Services,395611,-,-,-,-,-,-,-,-,-,-,-,-,-
